"date","botfam","industry","hosts","orgs"
2016-06-04,"Bedep","Retail",544,8
2016-06-04,"ConfickerAB","Education",420,84
2016-06-04,"ConfickerAB","Finance",233,45
2016-06-04,"ConfickerAB","Government/Politics",272,32
2016-06-04,"ConfickerAB","Healthcare/Wellness",280,94
2016-06-04,"ConfickerAB","Manufacturing",1269,66
2016-06-04,"ConfickerAB","Retail",836,42
2016-06-04,"Necurs","Education",191,81
2016-06-04,"Necurs","Finance",53,33
2016-06-04,"Necurs","Government/Politics",218,15
2016-06-04,"Necurs","Healthcare/Wellness",13,12
2016-06-04,"Necurs","Manufacturing",372,19
2016-06-04,"Necurs","Retail",216,13
2016-06-04,"Olmasco","Education",2,2
2016-06-04,"Olmasco","Healthcare/Wellness",1,1
2016-06-04,"Olmasco","Manufacturing",2,1
2016-06-04,"PushDo","Education",1,1
2016-06-04,"PushDo","Finance",21,1
2016-06-04,"PushDo","Government/Politics",2,1
2016-06-04,"PushDo","Manufacturing",419,8
2016-06-04,"PushDo","Retail",170,2
2016-06-04,"Ramnit","Education",22,12
2016-06-04,"Ramnit","Finance",14,7
2016-06-04,"Ramnit","Government/Politics",20,3
2016-06-04,"Ramnit","Healthcare/Wellness",4,3
2016-06-04,"Ramnit","Manufacturing",9,5
2016-06-04,"Ramnit","Retail",178,5
2016-06-04,"Sality","Education",73,32
2016-06-04,"Sality","Finance",77,15
2016-06-04,"Sality","Government/Politics",44,9
2016-06-04,"Sality","Healthcare/Wellness",11,5
2016-06-04,"Sality","Manufacturing",201,21
2016-06-04,"Sality","Retail",135,8
2016-06-04,"zeroaccess","Education",10,7
2016-06-04,"zeroaccess","Finance",5,3
2016-06-04,"zeroaccess","Government/Politics",9,4
2016-06-04,"zeroaccess","Healthcare/Wellness",3,2
2016-06-04,"zeroaccess","Manufacturing",18,6
2016-06-04,"zeroaccess","Retail",191,3
2016-06-04,"Zeus","Education",45,25
2016-06-04,"Zeus","Finance",10,9
2016-06-04,"Zeus","Government/Politics",18,4
2016-06-04,"Zeus","Healthcare/Wellness",5,5
2016-06-04,"Zeus","Manufacturing",39,7
2016-06-04,"Zeus","Retail",41,4
2016-06-04,"Zusy","Education",35,10
2016-06-04,"Zusy","Finance",22,2
2016-06-04,"Zusy","Government/Politics",3,2
2016-06-04,"Zusy","Healthcare/Wellness",6,1
2016-06-04,"Zusy","Manufacturing",32,3
2016-06-04,"Zusy","Retail",436,3
2016-06-05,"Bedep","Education",22,13
2016-06-05,"Bedep","Finance",380,13
2016-06-05,"Bedep","Government/Politics",284,11
2016-06-05,"Bedep","Healthcare/Wellness",76,13
2016-06-05,"Bedep","Manufacturing",51,10
2016-06-05,"Bedep","Retail",544,7
2016-06-05,"ConfickerAB","Education",396,76
2016-06-05,"ConfickerAB","Finance",236,40
2016-06-05,"ConfickerAB","Government/Politics",245,32
2016-06-05,"ConfickerAB","Healthcare/Wellness",275,88
2016-06-05,"ConfickerAB","Manufacturing",1091,64
2016-06-05,"ConfickerAB","Retail",863,42
2016-06-05,"Necurs","Education",172,70
2016-06-05,"Necurs","Finance",42,29
2016-06-05,"Necurs","Government/Politics",175,10
2016-06-05,"Necurs","Healthcare/Wellness",17,14
2016-06-05,"Necurs","Manufacturing",244,15
2016-06-05,"Necurs","Retail",222,12
2016-06-05,"Olmasco","Manufacturing",2,1
2016-06-05,"Olmasco","Retail",2,2
2016-06-05,"PushDo","Finance",13,1
2016-06-05,"PushDo","Manufacturing",371,6
2016-06-05,"PushDo","Retail",114,2
2016-06-05,"Ramnit","Education",25,12
2016-06-05,"Ramnit","Finance",13,6
2016-06-05,"Ramnit","Government/Politics",15,4
2016-06-05,"Ramnit","Healthcare/Wellness",2,2
2016-06-05,"Ramnit","Manufacturing",7,4
2016-06-05,"Ramnit","Retail",167,5
2016-06-05,"Sality","Education",73,32
2016-06-05,"Sality","Finance",52,14
2016-06-05,"Sality","Government/Politics",35,6
2016-06-05,"Sality","Healthcare/Wellness",6,5
2016-06-05,"Sality","Manufacturing",144,17
2016-06-05,"Sality","Retail",111,7
2016-06-05,"zeroaccess","Education",10,6
2016-06-05,"zeroaccess","Finance",7,3
2016-06-05,"zeroaccess","Government/Politics",7,3
2016-06-05,"zeroaccess","Healthcare/Wellness",5,3
2016-06-05,"zeroaccess","Manufacturing",24,5
2016-06-05,"zeroaccess","Retail",228,4
2016-06-05,"Zeus","Education",45,21
2016-06-05,"Zeus","Finance",3,3
2016-06-05,"Zeus","Government/Politics",6,3
2016-06-05,"Zeus","Healthcare/Wellness",6,6
2016-06-05,"Zeus","Manufacturing",30,6
2016-06-05,"Zeus","Retail",47,3
2016-06-05,"Zusy","Education",55,15
2016-06-05,"Zusy","Finance",8,4
2016-06-05,"Zusy","Healthcare/Wellness",1,1
2016-06-05,"Zusy","Manufacturing",12,1
2016-06-05,"Zusy","Retail",451,3
2016-06-06,"Bedep","Education",61,27
2016-06-06,"Bedep","Finance",408,14
2016-06-06,"Bedep","Government/Politics",344,38
2016-06-06,"Bedep","Healthcare/Wellness",85,21
2016-06-06,"Bedep","Manufacturing",83,14
2016-06-06,"Bedep","Retail",534,10
2016-06-06,"ConfickerAB","Education",568,92
2016-06-06,"ConfickerAB","Finance",311,54
2016-06-06,"ConfickerAB","Government/Politics",376,37
2016-06-06,"ConfickerAB","Healthcare/Wellness",346,107
2016-06-06,"ConfickerAB","Manufacturing",1491,85
2016-06-06,"ConfickerAB","Retail",1020,46
2016-06-06,"Necurs","Education",337,108
2016-06-06,"Necurs","Finance",98,58
2016-06-06,"Necurs","Government/Politics",392,25
2016-06-06,"Necurs","Healthcare/Wellness",28,25
2016-06-06,"Necurs","Manufacturing",635,50
2016-06-06,"Necurs","Retail",248,17
2016-06-06,"Olmasco","Education",42,6
2016-06-06,"Olmasco","Healthcare/Wellness",2,1
2016-06-06,"Olmasco","Manufacturing",2,1
2016-06-06,"Olmasco","Retail",4,2
2016-06-06,"PushDo","Education",11,5
2016-06-06,"PushDo","Finance",26,2
2016-06-06,"PushDo","Government/Politics",13,1
2016-06-06,"PushDo","Healthcare/Wellness",2,1
2016-06-06,"PushDo","Manufacturing",308,9
2016-06-06,"PushDo","Retail",58,2
2016-06-06,"Ramnit","Education",37,14
2016-06-06,"Ramnit","Finance",19,9
2016-06-06,"Ramnit","Government/Politics",32,5
2016-06-06,"Ramnit","Healthcare/Wellness",3,3
2016-06-06,"Ramnit","Manufacturing",14,7
2016-06-06,"Ramnit","Retail",229,7
2016-06-06,"Sality","Education",110,39
2016-06-06,"Sality","Finance",133,21
2016-06-06,"Sality","Government/Politics",116,11
2016-06-06,"Sality","Healthcare/Wellness",8,7
2016-06-06,"Sality","Manufacturing",296,21
2016-06-06,"Sality","Retail",148,9
2016-06-06,"zeroaccess","Education",22,11
2016-06-06,"zeroaccess","Finance",5,3
2016-06-06,"zeroaccess","Government/Politics",15,6
2016-06-06,"zeroaccess","Healthcare/Wellness",6,3
2016-06-06,"zeroaccess","Manufacturing",25,6
2016-06-06,"zeroaccess","Retail",216,5
2016-06-06,"Zeus","Education",127,28
2016-06-06,"Zeus","Finance",11,9
2016-06-06,"Zeus","Government/Politics",12,8
2016-06-06,"Zeus","Healthcare/Wellness",11,8
2016-06-06,"Zeus","Manufacturing",38,9
2016-06-06,"Zeus","Retail",41,5
2016-06-06,"Zusy","Education",45,18
2016-06-06,"Zusy","Finance",23,6
2016-06-06,"Zusy","Government/Politics",4,2
2016-06-06,"Zusy","Healthcare/Wellness",3,2
2016-06-06,"Zusy","Manufacturing",46,6
2016-06-06,"Zusy","Retail",497,6
2016-06-07,"Bedep","Education",65,34
2016-06-07,"Bedep","Finance",423,17
2016-06-07,"Bedep","Government/Politics",337,29
2016-06-07,"Bedep","Healthcare/Wellness",83,16
2016-06-07,"Bedep","Manufacturing",150,18
2016-06-07,"Bedep","Retail",668,12
2016-06-07,"ConfickerAB","Education",609,93
2016-06-07,"ConfickerAB","Finance",314,59
2016-06-07,"ConfickerAB","Government/Politics",368,37
2016-06-07,"ConfickerAB","Healthcare/Wellness",335,108
2016-06-07,"ConfickerAB","Manufacturing",1461,79
2016-06-07,"ConfickerAB","Retail",995,49
2016-06-07,"Necurs","Education",353,109
2016-06-07,"Necurs","Finance",89,57
2016-06-07,"Necurs","Government/Politics",386,21
2016-06-07,"Necurs","Healthcare/Wellness",22,21
2016-06-07,"Necurs","Manufacturing",611,51
2016-06-07,"Necurs","Retail",250,17
2016-06-07,"Olmasco","Education",8,3
2016-06-07,"Olmasco","Healthcare/Wellness",3,1
2016-06-07,"Olmasco","Manufacturing",2,1
2016-06-07,"Olmasco","Retail",4,2
2016-06-07,"PushDo","Education",21,3
2016-06-07,"PushDo","Finance",20,1
2016-06-07,"PushDo","Government/Politics",22,2
2016-06-07,"PushDo","Healthcare/Wellness",5,1
2016-06-07,"PushDo","Manufacturing",269,9
2016-06-07,"PushDo","Retail",136,2
2016-06-07,"Ramnit","Education",82,41
2016-06-07,"Ramnit","Finance",29,17
2016-06-07,"Ramnit","Government/Politics",82,14
2016-06-07,"Ramnit","Healthcare/Wellness",7,6
2016-06-07,"Ramnit","Manufacturing",194,14
2016-06-07,"Ramnit","Retail",215,9
2016-06-07,"Sality","Education",105,36
2016-06-07,"Sality","Finance",131,24
2016-06-07,"Sality","Government/Politics",108,10
2016-06-07,"Sality","Healthcare/Wellness",12,9
2016-06-07,"Sality","Manufacturing",290,25
2016-06-07,"Sality","Retail",136,10
2016-06-07,"zeroaccess","Education",12,8
2016-06-07,"zeroaccess","Finance",10,3
2016-06-07,"zeroaccess","Government/Politics",11,4
2016-06-07,"zeroaccess","Healthcare/Wellness",7,5
2016-06-07,"zeroaccess","Manufacturing",20,6
2016-06-07,"zeroaccess","Retail",193,8
2016-06-07,"Zeus","Education",48,28
2016-06-07,"Zeus","Finance",13,12
2016-06-07,"Zeus","Government/Politics",8,5
2016-06-07,"Zeus","Healthcare/Wellness",7,6
2016-06-07,"Zeus","Manufacturing",32,8
2016-06-07,"Zeus","Retail",33,8
2016-06-07,"Zusy","Education",56,17
2016-06-07,"Zusy","Finance",31,6
2016-06-07,"Zusy","Government/Politics",8,6
2016-06-07,"Zusy","Healthcare/Wellness",5,3
2016-06-07,"Zusy","Manufacturing",49,7
2016-06-07,"Zusy","Retail",440,7
2016-06-08,"Bedep","Education",46,21
2016-06-08,"Bedep","Finance",382,9
2016-06-08,"Bedep","Government/Politics",233,16
2016-06-08,"Bedep","Healthcare/Wellness",70,15
2016-06-08,"Bedep","Manufacturing",60,13
2016-06-08,"Bedep","Retail",507,11
2016-06-08,"ConfickerAB","Education",591,93
2016-06-08,"ConfickerAB","Finance",311,57
2016-06-08,"ConfickerAB","Government/Politics",415,36
2016-06-08,"ConfickerAB","Healthcare/Wellness",344,109
2016-06-08,"ConfickerAB","Manufacturing",1521,80
2016-06-08,"ConfickerAB","Retail",1058,50
2016-06-08,"Necurs","Education",343,108
2016-06-08,"Necurs","Finance",88,52
2016-06-08,"Necurs","Government/Politics",438,23
2016-06-08,"Necurs","Healthcare/Wellness",26,24
2016-06-08,"Necurs","Manufacturing",623,51
2016-06-08,"Necurs","Retail",230,20
2016-06-08,"Olmasco","Education",8,3
2016-06-08,"Olmasco","Healthcare/Wellness",1,1
2016-06-08,"Olmasco","Manufacturing",1,1
2016-06-08,"Olmasco","Retail",6,2
2016-06-08,"PushDo","Education",15,4
2016-06-08,"PushDo","Finance",17,1
2016-06-08,"PushDo","Government/Politics",4,2
2016-06-08,"PushDo","Healthcare/Wellness",6,1
2016-06-08,"PushDo","Manufacturing",316,10
2016-06-08,"PushDo","Retail",226,2
2016-06-08,"Ramnit","Education",114,52
2016-06-08,"Ramnit","Finance",42,22
2016-06-08,"Ramnit","Government/Politics",83,14
2016-06-08,"Ramnit","Healthcare/Wellness",6,6
2016-06-08,"Ramnit","Manufacturing",465,16
2016-06-08,"Ramnit","Retail",218,6
2016-06-08,"Sality","Education",106,41
2016-06-08,"Sality","Finance",125,21
2016-06-08,"Sality","Government/Politics",104,10
2016-06-08,"Sality","Healthcare/Wellness",7,6
2016-06-08,"Sality","Manufacturing",284,23
2016-06-08,"Sality","Retail",166,9
2016-06-08,"zeroaccess","Education",19,11
2016-06-08,"zeroaccess","Finance",8,4
2016-06-08,"zeroaccess","Government/Politics",18,7
2016-06-08,"zeroaccess","Healthcare/Wellness",7,4
2016-06-08,"zeroaccess","Manufacturing",27,6
2016-06-08,"zeroaccess","Retail",264,7
2016-06-08,"Zeus","Education",51,20
2016-06-08,"Zeus","Finance",14,12
2016-06-08,"Zeus","Government/Politics",10,6
2016-06-08,"Zeus","Healthcare/Wellness",9,8
2016-06-08,"Zeus","Manufacturing",42,10
2016-06-08,"Zeus","Retail",50,6
2016-06-08,"Zusy","Education",42,10
2016-06-08,"Zusy","Finance",23,8
2016-06-08,"Zusy","Government/Politics",10,6
2016-06-08,"Zusy","Healthcare/Wellness",8,5
2016-06-08,"Zusy","Manufacturing",40,4
2016-06-08,"Zusy","Retail",468,5
2016-06-09,"Bedep","Education",69,24
2016-06-09,"Bedep","Finance",279,8
2016-06-09,"Bedep","Government/Politics",312,23
2016-06-09,"Bedep","Healthcare/Wellness",52,12
2016-06-09,"Bedep","Manufacturing",40,11
2016-06-09,"Bedep","Retail",619,9
2016-06-09,"ConfickerAB","Education",603,93
2016-06-09,"ConfickerAB","Finance",299,54
2016-06-09,"ConfickerAB","Government/Politics",408,36
2016-06-09,"ConfickerAB","Healthcare/Wellness",340,106
2016-06-09,"ConfickerAB","Manufacturing",1334,77
2016-06-09,"ConfickerAB","Retail",947,48
2016-06-09,"Necurs","Education",347,115
2016-06-09,"Necurs","Finance",86,51
2016-06-09,"Necurs","Government/Politics",428,24
2016-06-09,"Necurs","Healthcare/Wellness",26,25
2016-06-09,"Necurs","Manufacturing",615,51
2016-06-09,"Necurs","Retail",247,15
2016-06-09,"Olmasco","Education",11,3
2016-06-09,"Olmasco","Government/Politics",2,2
2016-06-09,"Olmasco","Healthcare/Wellness",1,1
2016-06-09,"Olmasco","Manufacturing",2,1
2016-06-09,"PushDo","Education",4,1
2016-06-09,"PushDo","Finance",28,1
2016-06-09,"PushDo","Government/Politics",20,2
2016-06-09,"PushDo","Healthcare/Wellness",7,1
2016-06-09,"PushDo","Manufacturing",323,12
2016-06-09,"PushDo","Retail",158,2
2016-06-09,"Ramnit","Education",94,44
2016-06-09,"Ramnit","Finance",25,17
2016-06-09,"Ramnit","Government/Politics",92,10
2016-06-09,"Ramnit","Healthcare/Wellness",6,6
2016-06-09,"Ramnit","Manufacturing",541,19
2016-06-09,"Ramnit","Retail",204,8
2016-06-09,"Sality","Education",111,36
2016-06-09,"Sality","Finance",128,20
2016-06-09,"Sality","Government/Politics",143,9
2016-06-09,"Sality","Healthcare/Wellness",9,7
2016-06-09,"Sality","Manufacturing",285,26
2016-06-09,"Sality","Retail",169,9
2016-06-09,"zeroaccess","Education",19,12
2016-06-09,"zeroaccess","Finance",10,5
2016-06-09,"zeroaccess","Government/Politics",14,6
2016-06-09,"zeroaccess","Healthcare/Wellness",6,4
2016-06-09,"zeroaccess","Manufacturing",36,6
2016-06-09,"zeroaccess","Retail",211,7
2016-06-09,"Zeus","Education",69,32
2016-06-09,"Zeus","Finance",10,9
2016-06-09,"Zeus","Government/Politics",10,5
2016-06-09,"Zeus","Healthcare/Wellness",8,7
2016-06-09,"Zeus","Manufacturing",43,11
2016-06-09,"Zeus","Retail",45,7
2016-06-09,"Zusy","Education",41,12
2016-06-09,"Zusy","Finance",17,4
2016-06-09,"Zusy","Government/Politics",8,5
2016-06-09,"Zusy","Healthcare/Wellness",4,3
2016-06-09,"Zusy","Manufacturing",63,7
2016-06-09,"Zusy","Retail",448,4
2016-06-10,"Bedep","Education",28,14
2016-06-10,"Bedep","Finance",359,7
2016-06-10,"Bedep","Government/Politics",286,15
2016-06-10,"Bedep","Healthcare/Wellness",25,10
2016-06-10,"Bedep","Manufacturing",33,11
2016-06-10,"Bedep","Retail",510,7
2016-06-10,"ConfickerAB","Education",539,88
2016-06-10,"ConfickerAB","Finance",268,54
2016-06-10,"ConfickerAB","Government/Politics",372,39
2016-06-10,"ConfickerAB","Healthcare/Wellness",343,106
2016-06-10,"ConfickerAB","Manufacturing",1299,77
2016-06-10,"ConfickerAB","Retail",949,43
2016-06-10,"Necurs","Education",305,100
2016-06-10,"Necurs","Finance",82,57
2016-06-10,"Necurs","Government/Politics",353,23
2016-06-10,"Necurs","Healthcare/Wellness",25,22
2016-06-10,"Necurs","Manufacturing",602,48
2016-06-10,"Necurs","Retail",255,14
2016-06-10,"Olmasco","Education",12,4
2016-06-10,"Olmasco","Healthcare/Wellness",1,1
2016-06-10,"Olmasco","Manufacturing",2,1
2016-06-10,"Olmasco","Retail",26,2
2016-06-10,"PushDo","Education",1,1
2016-06-10,"PushDo","Finance",85,2
2016-06-10,"PushDo","Government/Politics",16,2
2016-06-10,"PushDo","Healthcare/Wellness",3,1
2016-06-10,"PushDo","Manufacturing",411,11
2016-06-10,"PushDo","Retail",70,2
2016-06-10,"Ramnit","Education",99,51
2016-06-10,"Ramnit","Finance",26,14
2016-06-10,"Ramnit","Government/Politics",69,9
2016-06-10,"Ramnit","Healthcare/Wellness",4,4
2016-06-10,"Ramnit","Manufacturing",621,18
2016-06-10,"Ramnit","Retail",223,7
2016-06-10,"Sality","Education",99,38
2016-06-10,"Sality","Finance",113,21
2016-06-10,"Sality","Government/Politics",85,8
2016-06-10,"Sality","Healthcare/Wellness",10,6
2016-06-10,"Sality","Manufacturing",289,24
2016-06-10,"Sality","Retail",174,10
2016-06-10,"zeroaccess","Education",19,9
2016-06-10,"zeroaccess","Finance",9,3
2016-06-10,"zeroaccess","Government/Politics",14,4
2016-06-10,"zeroaccess","Healthcare/Wellness",6,4
2016-06-10,"zeroaccess","Manufacturing",37,6
2016-06-10,"zeroaccess","Retail",188,3
2016-06-10,"Zeus","Education",59,26
2016-06-10,"Zeus","Finance",11,10
2016-06-10,"Zeus","Government/Politics",17,9
2016-06-10,"Zeus","Healthcare/Wellness",5,4
2016-06-10,"Zeus","Manufacturing",36,11
2016-06-10,"Zeus","Retail",67,5
2016-06-10,"Zusy","Education",45,16
2016-06-10,"Zusy","Finance",26,5
2016-06-10,"Zusy","Government/Politics",5,3
2016-06-10,"Zusy","Healthcare/Wellness",8,4
2016-06-10,"Zusy","Manufacturing",47,6
2016-06-10,"Zusy","Retail",435,3
2016-06-11,"Bedep","Education",21,13
2016-06-11,"Bedep","Finance",374,7
2016-06-11,"Bedep","Government/Politics",294,12
2016-06-11,"Bedep","Healthcare/Wellness",18,8
2016-06-11,"Bedep","Manufacturing",32,10
2016-06-11,"Bedep","Retail",440,4
2016-06-11,"ConfickerAB","Education",402,83
2016-06-11,"ConfickerAB","Finance",233,42
2016-06-11,"ConfickerAB","Government/Politics",284,33
2016-06-11,"ConfickerAB","Healthcare/Wellness",297,96
2016-06-11,"ConfickerAB","Manufacturing",1163,61
2016-06-11,"ConfickerAB","Retail",866,42
2016-06-11,"Necurs","Education",195,69
2016-06-11,"Necurs","Finance",53,34
2016-06-11,"Necurs","Government/Politics",230,10
2016-06-11,"Necurs","Healthcare/Wellness",16,15
2016-06-11,"Necurs","Manufacturing",368,22
2016-06-11,"Necurs","Retail",195,12
2016-06-11,"Olmasco","Government/Politics",2,1
2016-06-11,"Olmasco","Healthcare/Wellness",1,1
2016-06-11,"Olmasco","Manufacturing",1,1
2016-06-11,"Olmasco","Retail",4,2
2016-06-11,"PushDo","Education",1,1
